id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
157352	tšty	tšty	!t!šty[:w	/š-t-y/	vb G prefc. 3 m. pl.	to drink	Feast formula: 'the gods eat and drink'.
# KTU 1.4 III:41							
157353	ilm	[ilm  ]  	il(I)/m	ỉl (I)	n. m. pl. abs. nom.	god	
157354	w	[w ] 	w	w	conj.	and	
157355	tpq	[tp]q    	!t!pq[:w	/p-q/	vb G prefc. 3 m. pl.	to obtain	'a suckling is provided'.
157356	mrġṯm	mrġṯm	mrġṯ/m	mrġṯ	n. m. pl. abs. acc.	suckling	
# KTU 1.4 III:42							
157357	ṯd	[ṯd  ]  	ṯd/	ṯd	n. m. sg. abs. gen.	breast	mrġṯm ṯd 'sucklings of the teat' (DULAT).
157358	b	[b ] 	b	b	prep.	in	
157359	ḥrb	[ḥrb  ]  	ḥrb/	ḥrb	n. f. sg. abs. gen.	knife	EUPT genders m.
157360	mlḥt	[m]lḥt    	mlḥ(t/t	mlḥt	n. f. sg. abs. gen.	salt	b ḥrb mlḥt 'with a salted knife'.
157361	qṣ	qṣ	qṣ/	qṣ	n. m. sg. cstr. acc.	fillet (of meat)	qṣ mri 'a fillet of fatling' (DULAT qṣ, sense 2).
# KTU 1.4 III:43							
157362	mri	[mri  ]  	mr(u(I)/&i	mrủ (I)	n. m. sg. abs. gen.	fattened	
157363	tšty	[tšty  ]  	!t!šty[:w	/š-t-y/	vb G prefc. 3 m. pl.	to drink	
157364	krpnm	krpnm 	krpn/m	krpn	n. m. pl. abs. acc.	cup	'they drink wine from goblets'.
157365	yn	yn	yn/	yn	n. m. sg. abs. acc.	wine	
# KTU 1.4 III:44							
157366	w	[w ] 	w	w	conj.	and	
157367	b	[b ] 	b	b	prep.	in	
157368	ks	[ks  ]  	ks(I)/	ks (I)	n. m. sg. cstr. gen.	cup	
157369	ḫrṣ	[ḫrṣ  ]  	ḫrṣ/	ḫrṣ	n. m. sg. abs. gen.	gold	b ks ḫrṣ 'from a cup of gold'.
157370	dm	[d]m    	dm(II)/	dm (II)	n. m. sg. cstr. acc.	blood	dm ˤṣm 'the blood of trees' = wine.
157371	ˤṣm	ʿṣm	ˤṣ/m	ʕṣ	n. m. pl. abs. gen.	tree	
# KTU 1.4 III:45							
157372	xx	[                  ]xx[  ]  	?	?	?	?	
# KTU 1.4 III:46							
157373		[                       ]                       	?	?	?	?	
# KTU 1.4 III:47							
157374		[                       ]                       	?	?	?	?	
# KTU 1.4 III:48							
157375		[                       ]                       	?	?	?	?	
# KTU 1.4 III:49							
157376		[                       ]                       	?	?	?	?	
# KTU 1.4 III:50							
157377		[                       ]                       	?	?	?	?	
# KTU 1.4 III:51							
157378		[                       ]                       	?	?	?	?	
# KTU 1.4 III:52							
157379	xxḥ	[                        ]xxḥ	?	?	?	?	
# KTU 1.4 III:53							
157380	x	[                        ]x	?	?	?	?	
# KTU 1.4 III:54							
157381	ˤln	[                       ]ʿln	ˤl(I)~n	ʕl (I)	prep. + encl. -n	upon	
# KTU 1.4 III:55							
157382	ln	[                       ]ln	l(I)~n	l (I)	prep. + encl. -n	to	
# KTU 1.4 IV:1							
157383	ṯr	ṯr[ ] 	ṯr(I)/	ṯr (I)	n. m. sg. cstr. nom.	bull	Vocative: 'O Bull El our father!'. | Migrated from legacy reviewed tokenization.
157384	il	[il  ]  	il(I)/	ỉl (I)	DN m. sg. abs. gen.	god	Vocative: 'O Bull El our father!'. | Migrated from legacy reviewed tokenization.
157385	abn	[abn  ]  	ab/+n	ảb	n. m. sg. cstr. nom. + 1 c. pl. suff.	father	'our father'.
157386	w	[w ] 	w	w	conj.	and	
157387	tˤn	[tʿn  ]  	!t!ˤn(y[	/ʕ-n-y/ (I)	vb G prefc. 3 f. sg.	to answer	Lady Athirat answers; 3 f. sg.
157388	rbt	[rbt]	rb(t(I)/t	rbt (I)	n. f. sg. cstr. nom.	Lady	
# KTU 1.4 IV:2							
157389	aṯrt	aṯr[t  ]  	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. cstr. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
157390	ym	[ym  ]  	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	
157391	šmˤ	[šmʿ  ]  	!!šmˤ[	/š-m-ʕ/	vb G impv. m. sg.	to hear, listen (to), notice	'Listen, O Qudšu-wa-Amruru!' (Athirat commands her servant).
157391	šmˤ	[šmʿ  ]  	šmˤ/	šmʕ	n. m. sg. abs. nom.	attendant	Noun reading: 'the attendant Qudšu-wa-Amrur'.
157392	l	[l ] 	l(IV)	l (IV)	interj.	oh!	šmˤ l qdš 'Listen, O Qudšu-...!' (// 1.3 VI:10 l dgy).
157393	qdš	[qdš]	qdš(III)/	qdš (III)	DN m. sg. abs. nom.	the Holy One	One of Athirat's two messenger-servants (qdš w amrr).
# KTU 1.4 IV:3							
157394	w	w 	w	w	conj.	and	
157395	amrr	amr[r  ]  	amrr/	ảmrr	DN m. sg. abs. nom.	“Blessed”, one of the two messenger-boys of the goddess ảṯrt	The other messenger of Athirat.
157396	l	[l ] 	l(IV)	l (IV)	interj.	oh!	
157397	dgy	[dgy  ]  	dgy/	dgy	n. m. sg. cstr. nom.	triton	Vocative: 'O fisherman of Lady Athirat of the Sea'.
157398	rbt	[rbt]	rb(t(I)/t	rbt (I)	n. f. sg. cstr. gen.	Lady	
# KTU 1.4 IV:4							
157399	aṯrt	aṯrt  	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. cstr. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
157400	ym	ym[  ]  	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	
157401	mdl	[mdl  ]  	mdl(I)/	mdl (I)	n. m. sg. cstr. acc.	riding gear	mdl ˤr 'harness the donkey'.
157402	ˤr	[ʿr]	ˤr(II)/	ʕr (II)	n. m. sg. abs. acc.	donkey	
# KTU 1.4 IV:5							
157403	ṣmd	ṣmd  	!!ṣmd[	/ṣ-m-d/	vb G impv. m. sg.	to harness, yoke	
157404	pḥl	pḥl  	pḥl/	pḥl	n. m. sg. abs. acc.	ass	
157405	št	š[t  ]  	!!št[	/š-t/	vb G impv. m. sg.	to place, set, set up, leave	št gpnm 'put on the trappings'.
157406	gpnm	[gpnm  ]  	gpn(II)/m	gpn (II)	n. m. du. abs. acc.	harness	
157407	dt	[dt]	d~t	d	det. / rel. functor + encl. -t	the one(s) of	
# KTU 1.4 IV:6							
157408	ksp	ksp  	ksp/	ksp	n. m. sg. abs. gen.	silver	
157409	dt	dt  	d~t	d	det. / rel. functor + encl. -t	the one(s) of	
157410	yrq	yrq[  ]  	yrq/	yrq	n. m. sg. cstr. gen.	greenish yellow (a metal / gold)	dt yrq nqbnm 'of gold the harness-fittings'.
157411	nqbnm	[nqbnm]	nqbn/m	nqbn	n. m. pl. abs. acc.	caparison	
# KTU 1.4 IV:7							
157412	ˤdb	ʿdb  	!!ˤdb[	/ʕ-d-b/	vb G impv. m. sg.	to leave > to put in > to place	ˤdb gpn atnty 'prepare the harness of my she-ass'.
157413	gpn	gpn  	gpn(II)/	gpn (II)	n. m. sg. cstr. acc.	harness	
157414	atnty	atnt[y]	atn(I)/t+y	ảtn (I)	n. f. sg. cstr. gen. + 1 c. sg. suff.	donkey, she-ass	ảtnt 'she-ass' = fem. of ảtn (I).
# KTU 1.4 IV:8							
157415	yšmˤ	yšmʿ  	!y!šmˤ[	/š-m-ʕ/	vb G prefc. 3 m. sg.	to hear	'Qudšu-wa-Amrur obeys'.
157416	qdš	qd<š>    	qdš(III)/	qdš (III)	DN m. sg. abs. nom.	the Holy One	
157417	w	w 	w	w	conj.	and	
157418	amrr	amrr	amrr/	ảmrr	DN m. sg. cstr. nom.	“Blessed”, one of the two messenger-boys of the goddess ảṯrt	
# KTU 1.4 IV:9							
157419	mdl	mdl  	mdl(I)/	mdl (I)	n. m. sg. cstr. acc.	riding gear	
157419	mdl	mdl  	mdl[	/m-d-l/	vb G suffc. 3 m. sg.	riding gear	EUPT: G suffc. 'he harnessed'.
157420	ˤr	ʿr  	ˤr(II)/	ʕr (II)	n. m. sg. abs. acc.	donkey	
157421	ṣmd	ṣmd  	ṣmd[	/ṣ-m-d/	vb G suffc. 3 m. sg.	to harness, yoke	ṣmd pḥl 'he harnesses the ass' (vb, // IV:5).
157422	pḥl	pḥl	pḥl/	pḥl	n. m. sg. abs. acc.	ass	
# KTU 1.4 IV:10							
157423	št	št  	št[	/š-t/	vb G suffc. 3 m. sg.	to place, set, set up, leave	
157424	gpnm	gpnm  	gpn(II)/m	gpn (II)	n. m. du. abs. acc.	harness	
157425	dt	dt  	d~t	d	det. / rel. functor + encl. -t	1) the one(s) of a) det. of quality	
157426	ksp	ksp	ksp/	ksp	n. m. sg. abs. gen.	silver	
# KTU 1.4 IV:11							
157427	dt	dt  	d~t	d	det. / rel. functor + encl. -t	the one(s) of	
157428	yrq	yrq  	yrq/	yrq	n. m. sg. cstr. gen.	greenish yellow (a metal / gold)	
157429	nqbnm	nqbnm	nqbn/m	nqbn	n. m. pl. abs. acc.	caparison	
# KTU 1.4 IV:12							
157430	ˤdb	ʿdb  	ˤdb[	/ʕ-d-b/	vb G suffc. 3 m. sg.	to leave > to put in > to place	
157431	gpn	gpn  	gpn(II)/	gpn (II)	n. m. sg. cstr. acc.	harness	
157432	atnth	atnth	atn(I)/t+h	ảtn (I)	n. f. sg. cstr. gen. + 3 f. sg. suff.	donkey, she-ass	'the harness of her she-ass'.
# KTU 1.4 IV:13							
157433	yḥbq	yḥbq  	!y!ḥbq[	/ḥ-b-q/	vb G prefc. 3 m. sg.	to embrace, take in one’s arms, cover	
157434	qdš	qdš  	qdš(III)/	qdš (III)	DN m. sg. abs. nom.	the Holy One	
157435	w	w 	w	w	conj.	and	
157436	amrr	amrr	amrr/	ảmrr	DN m. sg. abs. nom.	“Blessed”, one of the two messenger-boys of the goddess ảṯrt	
# KTU 1.4 IV:14							
157437	yštn	yštn  	!y!št[~n	/š-t/	vb G prefc. 3 m. sg. + energic -n	to place, set, set up, leave	'he sets Athirat on the donkey's back'.
157438	aṯrt	aṯrt  	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. acc.	Asherah	
157439	l	l 	l(I)	l (I)	prep.	to	
157440	bmt	bmt  	bm(t/t	bmt	n. f. sg. cstr. gen.	back	
157441	ˤr	ʿr	ˤr(II)/	ʕr (II)	n. m. sg. abs. gen.	donkey	
# KTU 1.4 IV:15							
157442	l	l 	l(I)	l (I)	prep.	to	
157443	ysmsmt	ysmsmt  	ysmsm(t/t	ysmsmt	n. f. sg. cstr. gen.	handsomeness	l ysmsmt bmt pḥl 'on the comely back of the ass'.
157444	bmt	bmt  	bm(t/t	bmt	n. f. sg. cstr. gen.	back	
157445	pḥl	pḥl	pḥl/	pḥl	n. m. sg. cstr. gen.	ass	
# KTU 1.4 IV:16							
157446	qdš	qdš  	qdš(III)/	qdš (III)	DN m. sg. abs. nom.	the Holy One	Athirat's servant Qudšu (qdš-w-ảmrr).
157447	yuḫdm	yuḫdm  	!y!(ʔ&uḫd[~m	/ʔ-ḫ-d(/ḏ)/	vb G prefc. 3 m. sg. + encl. -m	to collect, to take (back), grasp, seize, hold	'Qudšu takes hold (and) lights the way'.
157448	šbˤr	šbʿr	]š]bˤr(I)[	/b-ʕ-r/ (I)	vb Š suffc. 3 m. sg.	1) to illuminate	DULAT /b-ʕ-r/ (I) Š 'to illuminate/lead'.
# KTU 1.4 IV:17							
157449	amrr	amrr  	amrr/	ảmrr	DN m. sg. abs. nom.	“Blessed”, one of the two messenger-boys of the goddess ảṯrt	
157450	k	k 	k(I)	k (I)	prep.	like	
157451	kbkb	kbkb  	kbkb/	kbkb	n. m. sg. abs. gen.	1) heavenly body	amrr k kbkb l pnm 'Amrur like a star in front'.
157452	l	l 	l(I)	l (I)	prep.	to	
157453	pnm	pnm	pn(m/m	pnm	n. m. pl. tant. abs. gen.	in front	
# KTU 1.4 IV:18							
157454	aṯr	aṯr  	aṯr(I)	ảṯr (I)	adv. / prep.	1) adv b) (of place) behind	aṯr btlt ˤnt 'behind, Virgin Anat'.
157455	btlt	btlt  	btl(t/t	btlt	n. f. sg. cstr. gen.	virgin	
157456	ˤnt	ʿnt	ˤn(t(I)/t	ʕnt (I)	DN f. sg. abs. gen.	ʿAnatu/Anat	
# KTU 1.4 IV:19							
157457	w	w 	w	w	conj.	and	
157458	bˤl	bʿl  	bˤl(II)/	bʕl (II)	DN m. sg. abs. nom.	Baʿlu/Baal	
157459	tbˤ	tbʿ  	tbˤ[	/t-b-ʕ/	vb G suffc. 3 m. sg.	to go, leave, depart	'and Baal departs for the heights of Zaphon'.
157460	mrym	mrym  	mrym/	mrym	n. m. sg. cstr. acc.	height	
157461	ṣpn	ṣpn	ṣpn/	ṣpn	TN/DN sg. abs. gen.	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified	
# KTU 1.4 IV:20							
157462	idk	idk  	idk	ỉdk	narrative adv. functor	then	
157463	l	l 	l(III)	l (III)	functor	certainly	Journey formula: idk l ttn pnm.
157464	ttn	ttn  	!t!(ytn[	/y-t-n/	vb G prefc. 3 f. sg.	to give	Athirat 'sets her face toward El'; 3 f. sg.
157465	pnm	pnm	pn(m/m	pnm	n. m. pl. tant. abs. acc.	face	
# KTU 1.4 IV:21							
157466	ˤm	ʿm  	ˤm(I)	ʕm (I)	prep.	1) relationship of direction (space and time)	
157467	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
157468	mbk	mbk  	mbk/	mbk	n. m. sg. cstr. gen.	source	mbk nhrm 'the springs of the two rivers'.
157469	nhrm	nhrm	nhr/m	nhr	n. m. du. abs. gen.	1) river	
# KTU 1.4 IV:22							
157470	qrb	qrb  	qrb/	qrb	n. m. sg. cstr. gen.	1) inside	
157471	apq	apq  	apq/	ảpq	n. m. sg. cstr. gen.	spring	
157472	thmtm	thmtm	thm(t/tm	thmt	n. f. du. abs. gen.	Primordial Ocean	qrb apq thmtm 'amid the streams of the two deeps'.; EUPT genders m.
# KTU 1.4 IV:23							
157473	tgly	tgly  	!t!gly[	/g-l-y/	vb G prefc. 3 f. sg.	to present oneself, make one’s way, go > to leave, to go into exile > to go into exile > to emigrate > to cause somebody to go forth > in die Verbannung gehen > to reveal > go forth > sich zeigen	DULAT: G or N; Athirat arrives at El's abode.
157474	ḏd	ḏd  	ḏd(II)/	ḏd (II)	n. m. sg. cstr. acc.	grotto, cave	ḏd il 'the grotto of El'.
157475	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
157476	w	w 	w	w	conj.	and	
157477	tbu	tbu	!t!b(ʔ[&u	/b-ʔ/	vb G prefc. 3 f. sg.	to enter	
# KTU 1.4 IV:24							
157478	qrš	qrš  	qrš/	qrš	n. m. sg. cstr. acc.	private room	qrš mlk 'the tent of the King' (El).
157479	mlk	mlk  	mlk(I)/	mlk (I)	n. m. sg. abs. gen.	1) king e) part of the divine titulary (cf. Rahmouni DEAUT 4ff.)	
157480	ab	ab  	ab/	ảb	n. m. sg. cstr. gen.	1) father b) espec. of El (Rahmouni DEUAT 3ff.)	
157481	šnnm	šn[[n]]m	šn&nm/	šnm	DN sg. abs. gen.	Šunama/Shunama/second member of the double-barrelled divine name ṯkmn w šnm, origin unknown	ab šnm 'Father of Šunama'; surface šnnm has an extra n.
# KTU 1.4 IV:25							
157482	l	l 	l(I)	l (I)	prep.	to	
157483	pˤn	pʿn  	pˤn/	pʕn	n. f. du. cstr. gen.	at the feet of	l pˤn il 'at the feet of El'.
157484	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
157485	thbr	thbr  	!t!hbr[	/h-b-r/	vb G prefc. 3 f. sg.	to bow	
157486	w	w 	w	w	conj.	and	
157487	tql	tql	!t!ql[	/q-l/	vb G prefc. 3 f. sg.	to fall (down)	
# KTU 1.4 IV:26							
157488	tštḥwy	tštḥwy  	!t!]š]]t]ḥwy(II)[	/ḥ-w-y/ (II)	vb Št prefc. 3 f. sg.	to prostrate oneself	
157489	w	w 	w	w	conj.	and	
157490	tkbdh	tkbdh	!t!kbd[:d+h	/k-b-d/	vb D prefc. 3 f. sg. + 3 m. sg. suff.	to honour, to pay homage to, welcome	
# KTU 1.4 IV:27							
157491	hlm	hlm  	hlm	hlm	conj. functor	1) and so	'And so, when El sees her'.
157492	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. nom.	ʾIlu/Ilu/El	
157493	k	k 	k(II)	k (II)	emph. functor	yes	
157494	yphnh	yphnh	!y!ph(y[~n+h	/p-h-y/	vb G prefc. 3 m. sg. + 3 f. sg. suff.	to see, espy	'when El espies her'.
# KTU 1.4 IV:28							
157495	yprq	yprq  	!y!prq[	/p-r-q/	vb G prefc. 3 m. sg.	to release	yprq lṣb 'he unknits his brow and laughs'.
157496	lṣb	lṣb  	lṣb/	lṣb	n. m. sg. abs. acc.	brow	
157497	w	w 	w	w	conj.	and	
157498	yṣḥq	yṣḥq	!y!ṣḥq[	/ṣ-ḥ-q/	vb G prefc. 3 m. sg.	to laugh	
# KTU 1.4 IV:29							
157499	pˤnh	pʿnh  	pˤn/+h	pʕn	n. f. du. cstr. acc.	1) foot a) tdʕṣ pʕnm she pressed (?) (her) feet (down)	
157500	l	l 	l(I)	l (I)	prep.	to	
157501	hdm	hdm  	hdm/	hdm	n. m. sg. abs. gen.	footstool	
157502	yṯpd	yṯpd  	!y!ṯpd[	/ṯ-p-d/	vb G prefc. 3 m. sg.	to place, rest	'his feet he sets on the footstool'.
157503	w	w 	w	w	conj.	and	
157504	ykrkr	ykrkr	!y!krkr[	/k-r-k-r/	vb R prefc. 3 m. sg.	to twist, twiddle	'and he twiddles his fingers'.
# KTU 1.4 IV:30							
157505	uṣbˤth	uṣbʿth  	uṣbˤ(t/t=+h	ủṣbʕ	n. f. pl. cstr. acc. + 3 m. sg. suff.	finger; claw	'his fingers'.; EUPT genders m.
157506	yšu	yšu  	!y!(nš(ʔ[&u	/n-š-ʔ/	vb G prefc. 3 m. sg.	to raise	
157507	gh	gh  	g/+h	g	n. m. sg. cstr. acc.	(loud) voice	
157508	w	w 	w	w	conj.	and	
157509	yṣḥ	yṣ[ḥ]	!y!ṣḥ[	/ṣ-ḥ/	vb G prefc. 3 m. sg.	to exclaim	
# KTU 1.4 IV:31							
157510	ik	ik  	ik	ỉk	interr. functor	how?	
157511	mġyt	mġyt  	mġy[t	/m-ġ-y/	vb G suffc. 3 f. sg.	to come	El: 'how has Lady Athirat come?'; 3 f. sg.
157512	rbt	rbt  	rb(t(I)/t	rbt (I)	n. f. sg. cstr. nom.	Lady	
157513	aṯrt	aṯr[t  ]  	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
157514	ym	[y]m	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	
# KTU 1.4 IV:32							
157515	ik	ik  	ik	ỉk	interr. functor	how?	
157516	atwt	atwt  	(ʔ&atw[t	/ʔ-t-w/	vb G suffc. 3 f. sg.	to come, go	'how has the Creatress of the gods arrived?'; 3 f. sg.
157517	qnyt	qnyt  	qny[/t	/q-n-y/	vb G act. ptcpl. f. sg. cstr. nom.	to acquire	
157518	ilm	il[m]	il(I)/m	ỉl (I)	n. m. pl. abs. gen.	god	
# KTU 1.4 IV:33							
157519	rġb	rġb  	!!rġb[/	/r-ġ-b/	vb G inf. abs.	to be hungry	rġb rġbt 'are you indeed hungry?' (inf. + fin.).
157520	rġbt	rġbt  	rġb[t	/r-ġ-b/	vb G suffc. 2 f. sg.	to be hungry	
157521	w	w 	w	w	conj.	and	
157522	tġtr	tġtr	!t!ġtr[	/ġ-t-r/	vb G prefc. 2 f. sg.	to implore, intercede, ask	'and have you journeyed?'
# KTU 1.4 IV:34							
157523	hm	hm  	hm(II)	hm (II)	interr. functor	2) perhaps …? (interr. functor) b) in compound question	
157524	ġmu	ġmu  	!!ġm(ʔ&u[/	/ġ-m-ʔ/	vb G inf. abs.	to be thirsty	ġmu ġmit 'are you indeed thirsty?'
157525	ġmit	ġmit  	ġm(ʔ&i[t	/ġ-m-ʔ/	vb G suffc. 2 f. sg.	to be thirsty	
157526	w	w 	w	w	conj.	and	
157527	ˤst	ʿs[t]	ˤs(y[t==	/ʕ-s-y:s/	vb G suffc. 2 f. sg.	?	DULAT cites ʕs[ here s.v. /ʕ-s-y:s/ ('?'); parallel to ġmit.
# KTU 1.4 IV:35							
157528	lḥm	lḥm  	!!lḥm(I)[	/l-ḥ-m/ (I)	vb G impv. f. sg.	1) to eat	'Eat, or drink!'
157529	hm	hm  	hm(II)	hm (II)	conj.	2) perhaps …? (interr. functor) b) in compound question	
157530	štym	štym  	!!šty[~m	/š-t-y/	vb G impv. f. sg. + encl. -m	to drink	
157531	lḥm	lḥ[m]	!!lḥm(I)[	/l-ḥ-m/ (I)	vb G impv. f. sg.	1) to eat	
# KTU 1.4 IV:36							
157532	b	b 	b	b	prep.	1) spatial location a) place in which something occurs	
157533	ṯlḥnt	ṯlḥnt  	ṯlḥn/t=	ṯlḥn	n. m. pl. abs. gen.	table	b ṯlḥnt lḥm 'eat bread from the tables' (DULAT).
157534	lḥm	lḥm 	lḥm/	lḥm	n. m. sg. abs. acc.	2) bread	
157535	št	št	!!št(y[	/š-t-y/	vb G impv. f. sg.	to drink	DULAT (IV:36): št b krpnm yn 'drink wine in the cup' (/š-t-y/).
# KTU 1.4 IV:37							
157536	b	b 	b	b	prep.	in	
157537	krpnm	krpnm  	krpn/m	krpn	n. m. du. abs. gen.	cup	b krpnm yn 'wine from goblets'.
157538	yn	yn  	yn/	yn	n. m. sg. abs. acc.	2) measures and containers (of wine) e) other containers	
157539	b	b 	b	b	prep.	in	
157540	ks	k<s>    	ks(I)/	ks (I)	n. m. sg. cstr. gen.	cup	b ks ḫrṣ 'in a cup of gold'.
157541	ḫrṣ	ḫrṣ	ḫrṣ/	ḫrṣ	n. m. sg. abs. gen.	1) gold b) in craftwork	'(cup of) gold'.
# KTU 1.4 IV:38							
157542	dm	dm  	dm(II)/	dm (II)	n. m. sg. cstr. acc.	blood	dm ˤṣm 'the blood of trees' = wine.
157543	ˤṣm	ʿṣm  	ˤṣ/m	ʕṣ	n. m. pl. abs. gen.	1) tree	
157544	hm	hm  	hm(II)	hm (II)	interr. functor	2) perhaps …? (interr. functor) a) in simple question	
157545	yd	yd  	yd(II)/	yd (II)	n. m. sg. cstr. nom.	love	hm yd il mlk yḫssk 'does the love of El the King move you?'
157546	il	il 	il(I)/	ỉl (I)	DN m. sg. cstr. gen.	ʾIlu/Ilu/El	
157547	mlk	mlk	mlk(I)/	mlk (I)	n. m. sg. abs. gen.	1) king e) part of the divine titulary (cf. Rahmouni DEAUT 4ff.)	
# KTU 1.4 IV:39							
157548	yḫssk	yḫssk  	!y!ḫss[+k	/ḫ-s-s/	vb D prefc. 3 m. sg. + 2 f. sg. suff.	to remind	
157549	ahbt	ahbt  	ahb(t/t	ảhbt	n. f. sg. cstr. nom.	love	
157550	ṯr	ṯr  	ṯr(I)/	ṯr (I)	n. m. sg. abs. gen.	2) bull a) divine title	ahbt ṯr 'the love of the Bull'.
157551	tˤrrk	tʿrrk	!t!ˤrr[:d+k	/ʕ-r/	vb G prefc. 3 f. sg. + 2 f. sg. suff.	1) to move	DULAT /ʕ-r/ 'to be agitated': 'has the love of the Bull moved you?'.
# KTU 1.4 IV:40							
157552	w	w 	w	w	conj.	and	
157553	tˤn	tʿn  	!t!ˤn(y[	/ʕ-n-y/ (I)	vb G prefc. 3 f. sg.	to answer	Athirat answers; 3 f. sg.
157554	rbt	rbt  	rb(t(I)/t	rbt (I)	n. f. sg. cstr. nom.	Lady	
157555	aṯrt	aṯrt 	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. cstr. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
157556	ym	ym	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	
# KTU 1.4 IV:41							
157557	tḥmk	tḥmk  	tḥm/+k	tḥm	n. m. sg. cstr. nom. + 2 m. sg. suff.	message	'Your decree, O El, is wise' (// 1.3 V:30).
157558	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. nom.	ʾIlu/Ilu/El	
157559	ḥkm	ḥkm  	ḥkm/	ḥkm	adj. m. sg. abs. nom.	wise	
157560	ḥkmt	ḥkmt	ḥkm(t/t	ḥkmt	n. f. sg. abs. nom.	wisdom	ḥkmt ˤm ˤlm 'wisdom (lasting) for ever'.
# KTU 1.4 IV:42							
157561	ˤm	ʿm 	ˤm(I)	ʕm (I)	prep.	1) relationship of direction (space and time)	
157562	ˤlm	ʿlm  	ˤlm(I)/	ʕlm (I)	n. m. sg. abs. gen.	eternity	ˤm ˤlm 'for ever' (// 1.3 V:31; DULAT ḥkmt ˤm ˤlm).
157563	ḥyt	ḥyt  	ḥy(t(I)/t	ḥyt (I)	n. f. sg. abs. nom.	life	ḥyt ḥẓt 'a life of fortune'.
157564	ḥẓt	ḥẓt	ḥẓ(t/t	ḥẓt	adj. f. sg. abs. nom.	happy	
# KTU 1.4 IV:43							
157565	tḥmk	tḥmk  	tḥm/+k	tḥm	n. m. sg. cstr. nom. + 2 m. sg. suff.	message	
157566	mlkn	mlkn  	mlk(I)/+n	mlk (I)	n. m. sg. cstr. nom. + 1 c. pl. suff.	king	mlkn aliyn bˤl 'our king is Mightiest Baal' (// 1.3 V:32; DULAT -n (III)).
157567	aliyn	aliyn  	aliyn/	ảlỉyn	adj. m. sg. abs. nom.	The Very / Most Powerful	
157568	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. nom.	Baʿlu/Baal	
# KTU 1.4 IV:44							
157569	ṯpṭn	ṯpṭn  	ṯpṭ(II)/+n	ṯpṭ (II)	n. m. sg. cstr. nom. + 1 c. pl. suff.	judge	'our ruler, and there is none above him'.
157570	w	w 	w	w	conj.	and	
157571	in	in  	in	ỉn	functor	lack of	
157572	d	d 	d	d	det. or rel. functor	the one(s) of	
157573	ˤlnh	ʿlnh	ˤl(I)~n+h	ʕl (I)	prep. + encl. -n + 3 m. sg. suff.	upon	d ˤlnh 'who (is) above him'.
# KTU 1.4 IV:45							
157574	klnyn	klnyn  	klny~n	klny	adv. + encl. -n	all of us together	
157575	qšh	q[š]h    	qš(I)/+h	qš (I)	n. m. sg. cstr. acc. + 3 m. sg. suff.	tankard	'all of us bring his tankard'.
157576	nbln	nb[ln]	!n!(ybl[~n	/y-b-l/	vb G prefc. 1 c. pl. + energic -n	to carry	
# KTU 1.4 IV:46							
157577	klnyn	klnyn   	klny~n	klny	adv. + encl. -n	all of us together	
157578	nbl	nbl  	!n!(ybl[	/y-b-l/	vb G prefc. 1 c. pl.	to carry	
157579	ksh	ksh	ks(I)/+h	ks (I)	n. m. sg. cstr. acc. + 3 m. sg. suff.	cup	'all of us bring his cup'.
# KTU 1.4 IV:47							
157580	any	[an]y   	(ʔ&any[/	/ʔ-n-y/	vb G act. ptcpl. m. sg. abs. nom.	to sigh	any l yṣḥ 'he indeed cries out' (= I:4).
157581	l	l 	l(III)	l (III)	functor	certainly	
157582	yṣḥ	yṣḥ  	!y!ṣḥ[	/ṣ-ḥ/	vb G prefc. 3 m. sg.	to exclaim	
157583	ṯr	ṯr 	ṯr(I)/	ṯr (I)	n. m. sg. cstr. acc.	bull	Addressee of yṣḥ (// I:4).
157584	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
157585	abh	abh	ab/+h	ảb	n. m. sg. cstr. acc. + 3 m. sg. suff.	father	ṯr il abh 'Bull El his father'.
# KTU 1.4 IV:48							
